Медногорск (Оренбургская область),Численность населения 23 889
Павловск (Воронежская область),Численность населения 23 813
Морозовск (Ростовская область),Численность населения 23 796
Строитель (Белгородская область),Численность населения 23 781
Лермонтов (Ставропольский край),Численность населения 23 675
Семёнов (Нижегородская область),Численность населения 23 673
Родники (Ивановская область),Численность населения 23 669
Зерноград (Ростовская область),Численность населения 23 469
Северобайкальск (Республика Бурятия),Численность населения 23 411
Ленск (Республика Саха (Якутия)),Численность населения 23 226
Бутурлиновка (Воронежская область),Численность населения 23 226
Гусиноозёрск ,Численность населения 23 222
Аткарск (Саратовская область),Численность населения 23 198
Инта (Республика Коми),Численность населения 23 171
Татарск (Новосибирская область),Численность населения 23 168
Калач-на-Дону (Волгоградская область),Численность населения 23 108
Кувандык (Оренбургская область),Численность населения 23 078
Советская Гавань (Хабаровский край),Численность населения 22 942
Старая Купавна (Московская область),Численность населения 22 916
Шарья (Костромская область),Численность населения 22 841
Невьянск ,Численность населения 22 820
Давлеканово (Республика Башкортостан),Численность населения 22 697
Сасово (Рязанская область),Численность населения 22 683
Тайга (Кемеровская область),Численность населения 22 586
Уварово (Тамбовская область),Численность населения 22 514
Вилючинск (Камчатский край),Численность населения 22 473
Фокино (Приморский край),Численность населения 22 454
Ипатово (Ставропольский край),Численность населения 22 440
Зея (Амурская область),Численность населения 22 407
Зарайск (Московская область),Численность населения 22 370
Унеча (Брянская область),Численность населения 22 341
Таштагол (Кемеровская область),Численность населения 22 341
Электрогорск ,Численность населения 22 304
Железногорск-Илимский (Иркутская область),Численность населения 22 283
Колпашево (Томская область),Численность населения 22 212
Тарко-Сале (Ямало-Ненецкий автономный округ),Численность населения 22 181
Вельск (Архангельская область),Численность населения 22 073
Котельнич (Кировская область),Численность населения 22 060
Коммунар ,Численность населения 22 052
Красноуральск (Свердловская область),Численность населения 22 046
Калачинск ,Численность населения 21 885
Красноармейск (Саратовская область),Численность населения 21 867
Гурьевск (Кемеровская область),Численность населения 21 836
Хадыженск (Краснодарский край),Численность населения 21 787
Никольское (Ленинградская область),Численность населения 21 699
Исилькуль (Омская область),Численность населения 21 693
Семикаракорск (Ростовская область),Численность населения 21 693
Менделеевск (Республика Татарстан),Численность населения 21 606
Светлый (Калининградская область),Численность населения 21 530
Алдан (Республика Саха (Якутия)),Численность населения 21 499
Бронницы (Московская область),Численность населения 21 384
Бавлы ,Численность населения 21 372
Армянск (Республика Крым),Численность населения 21 291
Усть-Катав (Челябинская область),Численность населения 21 209
Омутнинск (Кировская область),Численность населения 21 038
Рыбное (Рязанская область),Численность населения 21 011
Дудинка (Красноярский край) ,Численность населения 20 925
Хотьково (Московская область),Численность населения 20 916
Сысерть (Свердловская область),Численность населения 20 843
Верещагино (Пермский край),Численность населения 20 828
Кубинка (Московская область),Численность населения 20 764
Кяхта (Республика Бурятия),Численность населения 20 709
Тырныауз (Кабардино-Балкарская Республика),Численность населения 20 696
Карачаевск (Карачаево-Черкесская Республика),Численность населения 20 626
Котово (Волгоградская область),Численность населения 20 613
Оса (Пермский край),Численность населения 20 610
Куровское (Московская область),Численность населения 20 587
Лысково (Нижегородская область),Численность населения 20 563
Гурьевск (Калининградская область),Численность населения 20 516
Остров (Псковская область),Численность населения 20 485
Вихоревка (Иркутская область),Численность населения 20 471
Электроугли (Московская область),Численность населения 20 443
Пущино (Московская область),Численность населения 20 418
Ряжск (Рязанская область),Численность населения 20 290
Черноголовка (Московская область),Численность населения 20 218
Котельниково (Волгоградская область),Численность населения 20 177
Тогучин (Новосибирская область),Численность населения 20 130
Нижний Ломов (Пензенская область),Численность населения 20 112
Нерехта (Костромская область),Численность населения 20 095
Арск (Республика Татарстан),Численность населения 20 018
Калтан (Кемеровская область),Численность населения 19 884
Буинск (Республика Татарстан),Численность населения 19 821
Белоярский (Ханты-Мансийский автономный округ - Югра),Численность населения 19 787
Бологое ,Численность населения 19 768
Бежецк (Тверская область),Численность населения 19 752
Козьмодемьянск (Республика Марий Эл),Численность населения 19 741
Терек (Кабардино-Балкарская Республика),Численность населения 19 682
Сергач (Нижегородская область),Численность населения 19 657
Агрыз (Республика Татарстан),Численность населения 19 628
Бобров (Воронежская область),Численность населения 19 592
Рошаль (Московская область),Численность населения 19 589
Оленегорск (Мурманская область),Численность населения 19 533
Шахунья (Нижегородская область),Численность населения 19 529
Алагир (Республика Северная Осетия - Алания),Численность населения 19 436
Усмань (Липецкая область),Численность населения 19 302
Оха (Сахалинская область),Численность населения 19 292
Пикалёво (Ленинградская область),Численность населения 19 250
Ардон (Республика Северная Осетия - Алания),Численность населения 19 236
Никольск (Пензенская область),Численность населения 19 087
Боготол (Красноярский край),Численность населения 18 805
Чегем (Кабардино-Балкарская Республика),Численность населения 18 726
Нижняя Тура (Свердловская область),Численность населения 18 720
Черепаново (Новосибирская область),Численность населения 18 665
Няндома (Архангельская область),Численность населения 18 656
Лебедянь (Липецкая область),Численность населения 18 627
Сортавала (Республика Карелия),Численность населения 18 600
Лодейное Поле (Ленинградская область),Численность населения 18 558
Пролетарск (Ростовская область),Численность населения 18 457
Новый Оскол (Белгородская область),Численность населения 18 439
Губаха (Пермский край),Численность населения 18 336
Покачи (Ханты-Мансийский автономный округ - Югра),Численность населения 18 328
Кировград (Свердловская область),Численность населения 18 319
Данков (Липецкая область),Численность населения 18 311
Шимановск (Амурская область),Численность населения 18 299
Ковылкино (Республика Мордовия),Численность населения 18 296
Радужный (Владимирская область),Численность населения 18 281
Бакал (Челябинская область),Численность населения 18 173
Суровикино (Волгоградская область),Численность населения 18 171
Абдулино (Оренбургская область),Численность населения 18 169
Слюдянка (Иркутская область),Численность населения 18 128
Зеленоградск (Калининградская область),Численность населения 18 098
Волоколамск (Московская область),Численность населения 17 967
Ершов (Саратовская область),Численность населения 17 919
Стародуб (Брянская область),Численность населения 17 911
Енисейск (Красноярский край),Численность населения 17 795
Нытва (Пермский край),Численность населения 17 783
Онега (Архангельская область),Численность населения 17 745
Кукмор (Республика Татарстан),Численность населения 17 699
Яровое (Алтайский край),Численность населения 17 693
Нефтегорск (Самарская область),Численность населения 17 663
Приозерск (Ленинградская область),Численность населения 17 553
Белоозёрский (Московская область),Численность населения 17 552
Льгов (Курская область),Численность населения 17 484
Николаевск-на-Амуре (Хабаровский край),Численность населения 17 458
Калач (Воронежская область),Численность населения 17 445
Нелидово (Тверская область),Численность населения 17 179
Голицыно (Московская область),Численность населения 17 170
Юрьев-Польский (Владимирская область),Численность населения 17 168
Зверево (Ростовская область),Численность населения 17 124
Полярный (Мурманская область),Численность населения 17 105
Харабали (Астраханская область),Численность населения 17 102
Шумиха (Курганская область),Численность населения 17 066
Краснослободск (Волгоградская область),Численность населения 17 040
Баймак (Республика Башкортостан),Численность населения 17 008
Нижняя Салда (Свердловская область),Численность населения 16 960
Пласт (Челябинская область),Численность населения 16 941
Туринск (Свердловская область),Численность населения 16 917
Суворов (Тульская область),Численность населения 16 903
Мензелинск (Республика Татарстан),Численность населения 16 713
Поворино (Воронежская область),Численность населения 16 666
Инза (Ульяновская область),Численность населения 16 666
Светлогорск (Калининградская область),Численность населения 16 655
Собинка (Владимирская область),Численность населения 16 647
Константиновск (Ростовская область),Численность населения 16 607
Арамиль (Свердловская область),Численность населения 16 569
Карачев (Брянская область),Численность населения 16 525
Покров (Владимирская область),Численность населения 16 472
Галич (Костромская область),Численность населения 16 433
Куртамыш (Курганская область),Численность населения 16 308
Райчихинск (Амурская область),Численность населения 16 251
Куса (Челябинская область),Численность населения 16 231
